Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate
FMN US,Federated Hermes Premier Munic,,,,91.5,0.0,15.0,0.0,0.0,2002-12-20,31423P108,,91.5,0.0,34.8171,4002850.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.23,-0.2206287920573639,86.7,6.0
FMO US,Fiduciary/Claymore Energy Infr,,,,330.0,0.0,20.0,0.0,0.0,2004-12-23,31647Q205,,330.0,0.0,22.3593,1584860.0,,,Financial,Closed-end Funds,Closed-end Funds,2.04,-0.3664921465968529,97.1,5.4
FMR US,First Mercury Financial Corp,,,1.3,189.75,17.3308,17.0,14.70588207,294.62,2006-10-18,320841109,,189.75,17.3308,,,16 - 18,Priced Within Range,Financial,Insurance,Property/Casualty Ins,5.34,-0.542138984721521,93.6,4.4
FMSA US,Fairmount Santrol Holdings Inc,79.4,5.6,7.6,400.0,159.91,16.0,0.0,2558.56,2014-10-03,30555Q108,0.6,400.0,159.91,0.245264,552132.0,21 - 24,Priced Below Range,Basic Materials,Mining,Diversified Minerals,0.09,-0.2512277812553889,86.9,5.7
FMTX US,Forma Therapeutics Holdings In,,,-34.9,319.296,38.5795,20.0,95.0,771.59,2020-06-19,34633R104,-3.1,319.296,38.5795,90.1746,43157900.0,16 - 18,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.05,0.5472046927775109,78.1,11.0
FMY US,First Trust Mortgage Income Fu,,,,80.8,0.0,20.0,0.050000001,0.0,2005-05-26,3.37E+107,,80.8,0.0,57.6,2426750.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,2.97,-0.1027749229187949,86.9,5.1
FNBCQ US,First NBC Bank Holding Co,,-43.2,-0.7,115.001,0.0,24.0,2.083333254,0.0,2013-05-10,32115D106,2.3,115.001,0.0,0.00512716,986.0,22 - 26,Priced Within Range,Financial,Banks,Commer Banks-Southern US,0.14,0.178040777358723,84.5,7.5
FND US,Floor & Decor Holdings Inc,41.5,8.2,7.0,213.087,92.3586,21.0,52.61904907,1939.53,2017-04-27,339750101,2.8,213.087,92.3586,123.621,131184000.0,16 - 18,Priced Above Range,"Consumer, Cyclical",Retail,Retail-Floor Coverings,0.82,0.296553336532688,97.0,4.4
FNET US,FortuNet Inc,,,1.7,25.875,11.3416,9.0,0.555555582,102.07,2006-01-31,34969Q100,,25.875,11.3416,,,13-Nov,Priced Below Range,"Consumer, Cyclical",Entertainment,Casino Services,4.09,0.7621951219512159,91.2,4.7
FNGN US,Financial Engines Inc,13.3,9.7,5.7,146.28,41.0956,12.0,43.75,493.15,2010-03-16,317485100,1.9,146.28,41.0956,0.599863,382213.0,11-Sep,Priced Above Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,0.14,0.4106283536571079,73.6,9.9
FNKO US,Funko Inc,57.7,4.2,4.4,125.0,23.3377,12.0,-41.08333206,280.052,2017-11-02,361008105,2.2,125.0,23.3377,71.3007,33642300.0,14 - 16,Priced Below Range,"Consumer, Cyclical",Toys/Games/Hobbies,Toys,1.16,0.0024324685907436,98.5,4.2
FNTCU US,CardConnect Corp,,-2.7,,100.0,13.7333,10.0,0.0,0.0,2015-02-13,31809H209,,100.0,13.7333,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,0.06,0.4343044923772059,95.4,5.5
FNTEU US,International Money Express In,28.5,10.2,15.8,175.0,23.16,10.0,0.5,231.6,2017-01-20,31810G208,,175.0,23.16,,,10-Oct,Priced Within Range,Financial,Diversified Finan Serv,Finance-Consumer Loans,0.55,0.582772789025459,98.5,4.7
FNWB US,First Northwest Bancorp,17.4,20.8,0.7,121.67,13.1004,10.0,21.79999924,131.004,2015-01-30,335834107,1.6,121.67,13.1004,68.0735,6772670.0,10-Oct,Priced Within Range,Financial,Banks,Commer Banks-Western US,0.06,-0.4705892373473239,98.1,5.7
FOCAX US,AIG Focused Growth Fund,,,,370.0,0.0,20.0,0.0,0.0,2005-07-26,86704E800,,370.0,0.0,,,20 - 20,Priced Within Range,Funds,Equity Fund,Growth,3.36,0.4627249357326559,96.5,5.0
FOCS US,Focus Financial Partners Inc,32.0,0.5,2.2,615.404,42.7701,33.0,13.78787899,1411.41,2018-07-26,34417P100,5.4,615.404,42.7701,114.895,75676700.0,35 - 39,Priced Below Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,1.91,0.006746326228517,97.9,3.8
FOF US,Cohen & Steers Closed-End Oppo,,,,500.647,0.0,20.0,0.5,0.0,2006-11-21,19248P106,,500.647,0.0,15.7132,4278440.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.23,-0.1486620416253789,92.1,4.5
FOLD US,Amicus Therapeutics Inc,17.1,-81.9,-30.7,75.0,22.2344,15.0,-3.799999952,333.52,2007-05-31,03152W109,-0.7,75.0,22.2344,115.342,324048000.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,5.26,0.61107186747047,88.3,4.4
FOODU US,Vaughan Foods Inc,,,-4.2,13.975,0.0,6.5,0.769230783,0.0,2007-06-28,92241M206,,13.975,0.0,,,6.50 - 6.50,Priced Within Range,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,5.23,0.1937975176605649,85.3,4.6
FORM US,FormFactor Inc,10.9,10.9,8.9,96.6,33.3683,14.0,25.5714283,467.16,2003-06-12,346375108,1.7,96.6,33.3683,100.948,77755600.0,13-Nov,Priced Above Range,Technology,Semiconductors,Semiconductor Equipment,1.28,0.108991825613079,89.7,6.3
FOUR US,Shift4 Payments Inc,78.3,-3.5,1.5,396.75,23.325,23.0,45.82608795,536.475,2020-06-05,82452J109,0.5,396.75,23.325,141.166,74827100.0,19 - 23,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,0.05,0.5472046927775109,78.1,11.0
FOXF US,Fox Factory Holding Corp,45.8,12.6,11.9,147.857,36.3171,15.0,24.06666756,544.76,2013-08-08,35138V102,1.5,147.857,36.3171,118.794,50211300.0,13 - 15,Priced Within Range,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,0.08,0.12029315570472,82.1,7.2
FOXH US,FoxHollow Technologies Inc,50.6,-6.3,0.6,72.45,22.0883,14.0,46.07143021,309.24,2004-10-28,35166A103,2.0,72.45,22.0883,,,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,1.86,0.5265929436545569,91.7,5.5
FPAC/U US,Far Peak Acquisition Corp,,,,600.0,60.0,10.0,0.0,600.0,2020-12-03,N.A.,,600.0,60.0,5.20767,3124600.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0941478467042596,80.7,6.7
FPF US,First Trust Intermediate Durat,,,,1517.5,0.0,25.0,0.0,0.0,2013-05-24,33718W103,,1517.5,0.0,22.7473,13841200.0,25 - 25,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.14,0.178040777358723,84.5,7.5
FPH US,Five Point Holdings LLC,46.0,2.9,-0.1,338.1,143.064,14.0,7.428571224,3143.38,2017-05-10,33833Q106,-0.5,338.1,143.064,75.768,52331700.0,18 - 20,Priced Below Range,Financial,Real Estate,Real Estate Oper/Develop,0.91,0.0854721826896363,97.1,4.4
FPI US,Farmland Partners Inc,2.0,19.3,1.6,53.2,4.0143,14.0,-7.285714149,56.2,2014-04-11,31154R109,0.2,53.2,4.0143,48.2453,26334200.0,14 - 16,Priced Within Range,Financial,REITS,REITS-Diversified,0.08,0.3296754453157729,84.1,6.2
FPL US,First Trust New Opportunities,,,,440.0,0.0,20.0,0.0,0.0,2014-03-27,33739M100,,440.0,0.0,48.7881,11537800.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.06,0.6440044126228239,80.0,6.7
FPO US,First Potomac Realty Trust,-7.2,-0.6,3.2,129.375,7.509,15.0,7.333333492,112.64,2003-10-23,33610F109,1.0,129.375,7.509,0.0123918,7279.0,14 - 16,Priced Within Range,Financial,REITS,REITS-Warehouse/Industr,1.11,-0.1079913606911449,89.6,6.0
FPRX US,Five Prime Therapeutics Inc,-11.4,-639.9,-30.3,71.76,16.7368,13.0,0.615384638,217.58,2013-09-18,33830X104,-1.7,71.76,16.7368,5.70894,2658770.0,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.07,0.1163004485263468,77.5,7.2
FPT US,Federated Premier Intermediate,,,,104.1,0.0,15.0,0.0,0.0,2002-12-20,31423M105,,104.1,0.0,4.91379,343096.0,15 - 15,Priced Within Range,Funds,Debt Fund,Unclassified,1.23,-0.2206287920573639,86.7,6.0
FRA US,BlackRock Floating Rate Income,,,,322.5,0.0,20.0,0.0,0.0,2003-10-29,09255X100,,322.5,0.0,34.9996,12331100.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.11,-0.1079913606911449,89.6,6.0
FRANQ US,FHC Holdings Corp,-4.8,-6.1,-14.5,195.5,43.8611,17.0,62.64706039,745.64,2011-07-22,351793203,0.9,195.5,43.8611,0.779294,23615.0,14 - 16,Priced Above Range,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,0.08,0.0886045666793554,63.7,9.0
FRB US,BlackRock Floating Rate Income,,,,209.5,0.0,20.0,0.050000001,0.0,2004-07-28,09255Y108,,209.5,0.0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.4,-0.158144438587237,96.7,5.5
FRC US,First Republic Bank/CA,17.8,29.4,0.8,322.575,0.0,25.5,9.490196228,0.0,2010-12-09,33616C100,6.8,322.575,0.0,102.25,187041000.0,24 - 27,Priced Within Range,Financial,Banks,Commer Banks-Western US,0.2,0.1718440789203088,74.5,9.3
FRCMQ US,FairPoint Communications Inc/O,-11.6,-21.4,-10.0,462.5,34.9254,18.5,-2.432432413,646.12,2005-02-04,305560104,1.6,462.5,34.9254,0.000260104,234.0,18 - 20,Priced Within Range,Communications,Telecommunications,Telecom Services,2.4,0.576822233875206,94.1,5.4
FREQ US,Frequency Therapeutics Inc,-61.9,-601.9,-49.3,88.55,30.7793,14.0,-2.142857075,426.36,2019-10-03,35803L108,-2.2,88.55,30.7793,25.9818,9161720.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.88,0.2286190552229999,95.5,3.6
FRGO US,Fargo Electronics Inc,,,13.1,75.0,11.7656,15.0,0.833333314,176.484,2000-02-10,30744P102,,75.0,11.7656,,,14 - 16,Priced Within Range,Industrial,Electronics,Identification Sys/Dev,5.79,0.592417061611377,111.3,4.1
FRNK US,Franklin Financial Corp/VA,34.3,32.0,1.4,138.862,14.3028,10.0,19.70000076,143.03,2011-04-28,35353C102,1.2,138.862,14.3028,,,10-Oct,Priced Within Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,0.11,0.6439429535456989,69.8,9.1
FRPT US,Freshpet Inc,33.4,-6.9,-6.8,179.689,33.3616,15.0,27.39999962,500.424,2014-11-07,358039105,0.0150707,179.689,33.3616,137.397,65978300.0,14-Dec,Priced Above Range,"Consumer, Cyclical",Retail,Retail-Pet Food&Supplies,0.07,-0.5399417941061189,88.8,5.8
FRTA US,Forterra Inc,16.5,6.2,6.7,331.56,63.7895,18.0,-8.333333015,1148.21,2016-10-20,34960W106,1.5,331.56,63.7895,54.6216,36842100.0,19 - 21,Priced Below Range,Industrial,Building Materials,Bldg&Construct Prod-Misc,0.29,0.1246748513014319,87.2,4.9
FRX/U US,Beachbody Co Inc/The,,-26.1,-48.6,300.0,30.0,10.0,2.0,300.0,2020-11-25,34619R201,-0.7,300.0,30.0,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Vitamins&Nutrition Prod,0.09,-0.0610627217844137,76.9,6.7
FSACU US,Federal Street Acquisition Cor,,,,460.0,46.0,10.0,1.0,460.0,2017-07-19,31421V206,,460.0,46.0,1.04391,480200.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Whsle Drug Dist,1.06,-0.0689922638852294,93.4,4.3
FSAM US,Fifth Street Asset Management,-14.6,-1.8,-6.5,102.0,6.0,17.0,-21.35294151,102.0,2014-10-30,31679P109,2.6,102.0,6.0,0.28361,57666.0,17 - 17,Priced Within Range,Financial,Banks,Fiduciary Banks,0.09,-0.2512277812553889,86.9,5.7
FSB US,Franklin Financial Network Inc,12.1,11.4,0.4,55.44,10.8534,21.0,14.28571415,227.921,2015-03-26,35352P104,1.6,55.44,10.8534,17.6858,2648060.0,24 - 27,Priced Below Range,Financial,Banks,Commer Banks-Southern US,0.06,0.5951721611097321,93.0,5.4
FSCT US,Forescout Technologies Inc,13.1,-35.1,-38.2,133.584,37.8058,22.0,15.909091,831.728,2017-10-27,34553D101,-0.4,133.584,37.8058,14.3241,7120790.0,20 - 22,Priced Within Range,Technology,Computers,Computer Data Security,1.06,-0.0632042103727645,100.7,4.2
FSD US,First Trust High Income Long/S,,,,645.0,0.0,20.0,0.0,0.0,2010-09-28,3.37E+113,,645.0,0.0,38.7875,12962400.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.19,0.0581736230715569,68.2,9.5
FSEA US,First Seacoast Bancorp,-0.8,15.8,0.2,24.383,6.0835,10.0,-2.5,60.835,2019-07-17,33631P102,0.4,24.383,6.0835,6.5054,394545.0,10-Oct,Priced Within Range,Financial,Banks,Commer Banks Non-US,2.39,0.1670941622453379,98.4,3.7
FSGI US,First Security Group Inc/TN,18.6,5.6,0.1,48.669,17.2341,10.0,1.700000048,172.34,2005-08-10,336312202,0.0413001,48.669,17.2341,,,12-Oct,Priced Within Range,Financial,Banks,Commer Banks-Southern US,3.3,0.5117707267144339,89.1,4.9
FSL US,Freescale Semiconductor Ltd,10.7,5.4,10.3,883.206,245.427,18.0,1.833333373,4417.69,2011-05-26,N.A.,1.6,883.206,245.427,0.0336158,104657.0,18 - 20,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon,0.09,0.4704187527233639,74.3,9.0
FSLF US,First Eagle Senior Loan Fund,,,,132.0,6.6,20.0,0.0,132.0,2013-09-20,3.20E+104,,132.0,6.6,44.5123,3302240.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.07,0.1163004485263468,77.5,7.2
FSLR US,First Solar Inc,7.8,16.0,1.2,458.85,72.3304,20.0,23.70000076,1446.61,2006-11-17,336433107,2.2,458.85,72.3304,93.1465,99299300.0,17 - 19,Priced Above Range,Energy,Energy-Alternate Sources,Energy-Alternate Sources,5.23,-0.1486620416253789,92.1,4.5
FSLY US,Fastly Inc,21.8,-62.8,-9.9,207.0,12.9375,16.0,49.9375,207.0,2019-05-17,31188V100,-0.3,207.0,12.9375,65.0393,79998300.0,14 - 16,Priced Within Range,Technology,Software,Computer Software,2.45,0.2128758589384109,100.0,3.6
FSNNQ US,Fusion Connect Inc,20.7,-9.3,-11.6,26.316,8.833,6.45,-10.07751656,56.97,2005-02-15,36116X102,0.3,26.316,8.833,0.0831137,68126.0,6.45 - 6.45,Priced Within Range,Technology,Computers,Computer Services,2.4,0.576822233875206,94.1,5.4
FSRVU US,Katapult Holdings Inc,,7.0,10.1,250.0,25.665,10.0,0.5,256.65,2019-11-01,318085206,0.0316195,250.0,25.665,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,1.57,-0.0536243034669465,96.8,3.6
FSSTQ US,Fastnet Corp,110.1,-53.2,-91.7,48.0,14.3889,12.0,38.54166794,172.667,2000-02-07,311877104,-0.1,48.0,14.3889,0.424226,100000.0,12-Oct,Priced Within Range,Communications,Internet,Web Portals/ISP,5.79,0.592417061611377,111.3,4.1
FST/U US,Fast Acquisition Corp,,,19.9,200.0,20.0,10.0,-0.699999988,200.0,2020-08-21,311875207,0.00830796,200.0,20.0,0.507,101400.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.1,0.315321052408127,74.1,8.4
FSTF US,First State Financial Corp/FL,-16.0,-100.2,,25.53,5.52654,12.0,6.0,66.32,2004-12-10,33708M206,0.5,25.53,5.52654,,,12-Oct,Priced Within Range,Financial,Banks,Commer Banks-Southern US,2.04,-0.3664921465968529,97.1,5.4
FTACU US,FinTech Acquisition Corp III,,,-0.0280271,345.0,0.0,10.0,0.400000006,0.0,2018-11-16,31811A309,-0.1,345.0,0.0,15.3594,6802280.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,2.2,-0.3349348518100969,97.5,3.8
FTCVU US,Fintech Acquisition Corp V,,,6.3,250.0,25.64,10.0,2.5,256.4,2020-12-04,31810Q305,-0.039091,250.0,25.64,7.50246,1923630.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0941478467042596,80.7,6.7
FTF US,Franklin Ltd Duration Income T,,,,369.0,0.0,15.0,0.0,0.0,2003-08-27,35472T101,,369.0,0.0,41.8198,16897400.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.0,0.380641653072316,89.3,6.1
FTHM US,Fathom Holdings Inc,86.8,-3.7,-21.1,34.3,13.2232,10.0,0.300000012,132.232,2020-07-31,31189V109,-0.8,34.3,13.2232,18.9892,3242330.0,9-Jul,Priced Above Range,Financial,Real Estate,Real Estate Mgmnt/Servic,0.08,0.5058243501670088,72.5,10.2
FTHY US,First Trust High Yield Opportu,,,,665.0,0.0,20.0,0.0,0.0,2020-06-26,33741Q107,,665.0,0.0,32.3287,11888200.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.05,0.5472046927775109,78.1,11.0
FTIVU US,Perella Weinberg Partners,,-1.1,2.9,230.0,23.61,10.0,3.400000095,236.1,2020-09-25,31810N302,5.5,230.0,23.61,,,10-Oct,Priced Within Range,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,0.09,0.13927469432666,80.4,7.8
FTNT US,Fortinet Inc,28.8,18.1,13.1,179.688,66.269,12.5,32.95999908,828.36,2009-11-18,3.50E+113,1.8,179.688,66.269,81.0436,633142000.0,11-Sep,Priced Above Range,Technology,Computers,Computer Data Security,0.11,0.0707753368767078,67.4,9.9
FTOCU US,FTAC Olympus Acquisition Corp,,,,754.744,77.6444,10.0,-0.699999988,771.7,2020-08-26,N.A.,,754.744,77.6444,8.46456,6572260.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.1,0.315321052408127,74.1,8.4
FTSV US,Forty Seven Inc,,-558.8,-35.5,129.445,31.0154,16.0,-5.9375,496.246,2018-06-28,34983P104,-2.1,129.445,31.0154,23.6338,11381100.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.7,0.1593875701543719,98.2,4.0
FUEL US,Rocket Fuel Inc,-1.1,-14.4,-24.8,133.4,32.4938,29.0,93.44827271,942.32,2013-09-20,773111109,0.4,133.4,32.4938,,,27 - 29,Priced Within Range,Communications,Internet,E-Marketing/Info,0.07,0.1163004485263468,77.5,7.2
FULC US,Fulcrum Therapeutics Inc,117.1,-421.8,-62.5,72.0,23.34,16.0,-15.625,373.44,2019-07-18,359616109,-2.2,72.0,23.34,100.117,52112200.0,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,2.39,0.1670941622453379,98.4,3.7
FULL US,Full Circle Capital Corp,-9.1,-55.6,-7.0,18.0,6.1914,9.0,-1.111111164,55.72,2010-09-01,359671104,1.7,18.0,6.1914,,,10-Aug,Priced Within Range,Financial,Investment Companies,Investment Companies,0.19,0.0581736230715569,68.2,9.5
FUSE/U US,Moneylion Inc,115.4,-96.3,-53.6,350.0,35.0,10.0,1.600000024,350.0,2020-06-26,36118H204,,350.0,35.0,0.0392857,13750.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,0.05,0.5472046927775109,78.1,11.0
FUV US,Arcimoto Inc,101.5,-1084.3,-87.0,19.5,0.0,6.5,-11.53846169,0.0,2017-09-21,39587100,-1.0,19.5,0.0,17.8857,9155990.0,6.50 - 6.50,Priced Within Range,"Consumer, Cyclical",Auto Manufacturers,Auto-Cars/Light Trucks,1.16,0.5294905893230339,95.1,4.3
FVAC/U US,MP Materials Corp,147.1,40.6,9.1,345.0,34.5,10.0,0.600000024,345.0,2020-04-30,34962V205,0.5,345.0,34.5,0.0591328,25501.0,10-Oct,Priced Within Range,Basic Materials,Mining,Diversified Minerals,0.06,-0.668694186699718,71.8,14.8
FVAM US,5:01 Acquisition Corp,,,-1.2,82.563,10.6163,10.0,0.0,103.6,2020-10-15,33836P105,-0.0761104,82.563,10.6163,103.647,8935810.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0414937759336148,81.8,6.9
FVCB US,FVCBankcorp Inc,3.9,35.2,1.2,36.87,12.9198,20.0,1.5,258.396,2018-09-13,36120Q101,1.4,36.87,12.9198,39.1237,5474130.0,19 - 21,Priced Within Range,Financial,Banks,Commer Banks-Southern US,1.91,0.116202517589025,100.1,3.7
FVD US,First Trust Value Line Dividen,,,,450.0,0.0,15.0,0.0,0.0,2003-08-27,33734H106,,450.0,0.0,62.9018,195367000.0,15 - 15,Priced Within Range,Funds,Equity Fund,Value-Large Cap,1.0,0.380641653072316,89.3,6.1
FVL US,First Trust Value Line 100 Exc,,,,228.0,0.0,15.0,3.333333254,0.0,2003-06-13,33735G107,,228.0,0.0,,,15 - 15,Priced Within Range,Funds,Equity Fund,Growth & Income,1.28,0.108991825613079,89.7,6.3
FWMHQ US,Fairway Group Holdings Corp,2.7,-5.8,-12.3,204.068,27.8591,13.0,33.46154022,362.17,2013-04-17,30603D109,0.3,204.068,27.8591,0.583722,174556.0,12-Oct,Priced Above Range,"Consumer, Non-cyclical",Food,Food-Retail,0.16,-0.103963947708716,76.4,7.6
FXAI US,FX Alliance Inc,19.3,22.0,14.9,71.76,28.315,12.0,14.5,339.78,2012-02-09,361202104,2.0,71.76,28.315,,,13.50 - 15.50,Priced Below Range,Financial,Diversified Finan Serv,Finance-Other Services,0.11,0.440297355127631,75.3,8.3
FYR/U US,Sapphire Industrials Corp,,,,800.0,100.0,10.0,-0.200000003,1000.0,2008-01-18,80306T208,,800.0,100.0,,,10-Oct,Priced Within Range,Financial,Investment Companies,Investment Companies,3.06,0.4970576472604689,78.4,5.0
G US,Genpact Ltd,8.4,9.1,7.2,568.235,211.703,14.0,19.6428566,2963.84,2007-08-01,N.A.,3.7,568.235,211.703,110.41,202335000.0,,,Technology,Computers,Computer Services,5.3,-0.1833902227087109,83.4,4.6
GAC/U US,Geneva Acquisition Corp,,,1.0,69.0,0.0,6.0,0.833333314,0.0,2007-02-13,37185Y203,-0.1,69.0,0.0,,,6-Jun,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,5.29,0.535036755987662,91.3,4.5
GAIN US,Gladstone Investment Corp,28.1,141.0,9.2,248.4,0.0,15.0,0.266666681,0.0,2005-06-23,376546107,1.1,248.4,0.0,14.78,4912100.0,15 - 15,Priced Within Range,Financial,Investment Companies,Investment Companies,3.02,0.0514403292181003,96.0,5.0
GAN US,GAN Ltd,256.7,-19.8,-8.9,62.3645,28.9409,8.5,55.88235474,245.998,2020-05-05,N.A.,-0.1,62.3645,28.9409,33.0256,14065600.0,6.50 - 8.50,Priced Within Range,"Consumer, Cyclical",Entertainment,Internet Gambling,0.05,0.0019501616684046,72.3,13.2
GARS US,Garrison Capital Inc,2.4,-47.5,-12.0,91.9995,16.7588,15.0,0.0,251.38,2013-03-27,366554103,0.1,91.9995,16.7588,13.4411,2157210.0,15 - 15,Priced Within Range,Financial,Investment Companies,Investment Companies,0.14,0.2614508584374949,78.6,7.5
GATO US,Gatos Silver Inc,,-22.8,-0.082728,172.512,59.1831,7.0,-5.714285851,414.282,2020-10-28,368036109,,172.512,59.1831,49.9234,34514300.0,9-Jul,Priced Within Range,Basic Materials,Mining,Silver Mining,0.09,0.0414937759336148,81.8,6.9
GAV/U US,Grubb & Ellis Realty Advisors,,,1.8,143.75,29.8344,6.0,1.666666627,179.01,2006-02-28,400096202,,143.75,29.8344,,,6-Jun,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,4.47,0.2017145738779499,86.7,4.8
GBAB US,Guggenheim Taxable Municipal B,,,,340.0,0.0,20.0,0.0,0.0,2010-10-27,401664107,,340.0,0.0,20.9744,4678000.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.2,0.1245198888476958,67.7,9.4
GBDC US,Golub Capital BDC Inc,2.7,110.8,4.1,107.372,17.7124,14.5,1.448275805,256.83,2010-04-15,38173M102,-1.8,107.372,17.7124,49.255,84174800.0,15 - 16,Priced Below Range,Financial,Investment Companies,Investment Companies,0.17,0.1736884910697429,72.2,9.9
GBIM US,GlobeImmune Inc,8.2,-42.8,-16.4,17.25,5.7442,10.0,10.5,57.44,2014-07-02,37957B100,-1.2,17.25,5.7442,,,15 - 15,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.1,-0.0390193964161092,81.8,6.2
GBIO US,Generation Bio Co,,,-31.1,229.999,45.687,19.0,29.94736862,838.054,2020-06-12,37148K100,-1.6,229.999,45.687,115.325,68529300.0,18 - 19,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.05,0.5472046927775109,78.1,11.0
GBT US,Global Blood Therapeutics Inc,57.3,-155.6,-43.4,138.0,28.7085,20.0,115.5500031,574.17,2015-08-12,37890U108,-4.0,138.0,28.7085,123.042,83024200.0,16 - 18,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,-0.141627628281935,91.9,5.1
GCAP US,Gain Capital Holdings Inc,-34.3,-25.7,4.4,81.9,31.2458,9.0,-1.666666627,281.21,2010-12-15,36268W100,3.3,81.9,31.2458,47.6088,17997900.0,13 - 15,Priced Below Range,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,0.2,0.1718440789203088,74.5,9.3
GCF US,Global Income & Currency Fund,,,,147.0,0.0,20.0,0.0,0.0,2006-04-26,378968101,,147.0,0.0,,,,,Financial,Closed-end Funds,Closed-end Funds,5.0,0.8508508508508341,87.4,4.7
GCRSF US,Global Cornerstone Holdings Lt,,,,80.0,8.0,10.0,-0.5,80.0,2011-04-15,N.A.,,80.0,8.0,,,10-Oct,Priced Within Range,Financial,Investment Companies,Investment Companies,0.11,0.6439429535456989,69.8,9.1
GCS US,DWS Enhanced Commodity Strateg,,,,366.975,0.0,15.0,0.333333343,0.0,2004-09-24,23338Y100,,366.975,0.0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.53,0.2110817941952519,94.2,5.4
GDDY US,GoDaddy Inc,15.0,6.3,4.8,520.0,64.8242,20.0,30.75,1236.48,2015-04-01,380237107,4.9,520.0,64.8242,115.19,178620000.0,17 - 19,Priced Above Range,Communications,Internet,Web Hosting/Design,0.12,0.2032873254587689,95.9,5.4
