Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced
JHD US,Nuveen High Income December 20,,,,245.0,0.0,10.0,0.0,6.71E+111,,245.0,0.0,6.39256,1730090.0,10-Oct,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.3,0.404579099811517,94.7,4.8,5,11,2016,1
JHF US,John Hancock Financial Service,18.7,8.0,0.6,1734.0,331.7,17.0,5638.9,41014S106,10.6,1734.0,331.7,0.0728972,213819.0,16 - 18,Priced Within Range,Financial,Insurance,Life/Health Insurance,3.99,0.2970885323826589,112.0,4.0,1,26,2000,1
JHP US,Nuveen Quality Preferred Incom,,,,319.2,0.0,15.0,0.0,67072W101,,319.2,0.0,,,15 - 15,Priced Within Range,Funds,Debt Fund,Unclassified,1.23,-0.2206287920573639,86.7,6.0,12,19,2002,1
JHTXQ US,Jackson Hewitt Tax Service Inc,,,3.8,637.5,37.603,17.0,639.25,468202106,,637.5,37.603,,,18 - 20,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,1.02,0.3172924378635659,95.6,5.6,6,22,2004,1
JHY US,Nuveen High Income 2020 Target,,,,124.0,0.0,10.0,0.0,67075L102,,124.0,0.0,,,10-Oct,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.13,0.0067047159295661,93.1,5.2,7,29,2015,1
JIH/U US,Juniper Industrial Holdings In,,,,345.0,34.5,10.0,345.0,48205G205,,345.0,34.5,0.000513043,177.0,10-Oct,Priced Within Range,Industrial,Building Materials,Bldg&Construct Prod-Misc,1.57,-0.0536243034669465,96.8,3.6,11,8,2019,1
JILL US,J Jill Inc,37.1,-4.8,10.1,162.912,43.7479,13.0,568.723,46620W201,6.0,162.912,43.7479,72.4412,7351700.0,14 - 16,Priced Below Range,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,0.66,0.0812797871947232,96.9,4.4,3,9,2017,0
JIVE US,Jive Software Inc,4.2,-6.8,-3.6,161.275,59.0663,12.0,708.8,47760A108,0.0553075,161.275,59.0663,0.00359064,2864.0,10-Aug,Priced Above Range,Technology,Software,Applications Software,0.08,-0.2466516377138169,69.9,8.5,12,13,2011,1
JLA US,Nuveen Equity Premium Advantag,,,,464.0,0.0,20.0,0.0,6706ET107,,464.0,0.0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,2.97,-0.1027749229187949,86.9,5.1,5,26,2005,0
JLS US,Nuveen Mortgage and Income Fun,,,,395.0,0.0,25.0,0.0,670735109,,395.0,0.0,53.3715,2922960.0,25 - 25,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.11,0.0707753368767078,67.4,9.9,11,25,2009,0
JMBAU US,Jamba Inc,-10.9,-3.8,-4.0,138.0,18.75,8.0,150.0,47023A200,,138.0,18.75,,,8-Aug,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Restaurants,3.02,0.0514403292181003,96.0,5.0,6,30,2005,0
JMDT US,Jamdat Mobile Inc,171.4,4.8,6.9,102.12,19.7499,16.0,316.0,47023T100,-0.8,102.12,19.7499,,,13 - 15,Priced Above Range,Communications,Media,Multimedia,1.53,0.2110817941952519,94.2,5.4,9,29,2004,1
JMF US,Nuveen Energy MLP Total Return,,,,443.0,0.0,20.0,0.0,67074U103,,443.0,0.0,11.9742,4883900.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.18,0.493136502545162,77.5,9.0,2,24,2011,1
JMI US,JAVELIN Mortgage Investment Co,,-2.1,-0.0269118,145.0,7.5001,20.0,150.0,47200B104,1.0,145.0,7.5001,,,20 - 20,Priced Within Range,Financial,REITS,REITS-Mortgage,0.15,-0.0388925140553232,82.6,7.8,10,3,2012,0
JMLP US,Nuveen All Cap Energy MLP Oppo,,,,255.0,0.0,20.0,0.0,6.71E+112,,255.0,0.0,13.6583,1843900.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.06,0.6440044126228239,80.0,6.7,3,27,2014,0
JMP US,JMP Group LLC,4.8,-3.8,15.7,101.189,21.9999,11.0,242.0,46629U107,1.3,101.189,21.9999,0.199202,40159.0,10.50 - 12.50,Priced Within Range,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,5.26,0.61107186747047,88.3,4.4,5,11,2007,1
JMT US,Nuveen Mortgage Opportunity Te,,,,120.0,4.8,25.0,120.0,67074R100,,120.0,4.8,,,25 - 25,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.14,0.024920738207648,73.6,9.8,2,24,2010,1
JNCE US,Jounce Therapeutics Inc,-56.8,-337.7,-53.0,117.117,32.1218,16.0,513.949,481116101,-1.6,117.117,32.1218,79.4416,41066700.0,13 - 15,Priced Above Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.55,0.582772789025459,98.5,4.7,1,27,2017,1
JNPBU US,Juniper Content Corp,,,,14.5188,2.5,10.1,25.25,48203W301,,14.5188,2.5,,,10.10 - 10.10,Priced Within Range,Communications,Media,Multimedia,3.36,0.4627249357326559,96.5,5.0,7,15,2005,0
JONEQ US,Jones Energy Inc,-7.4,-546.2,-122.0,187.5,0.0,15.0,0.0,48019R306,13.4,187.5,0.0,4.18046,291683.0,17 - 19,Priced Below Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.1,0.039399753323301,85.1,7.3,7,24,2013,0
JOR US,Earle M Jorgensen Co,,,7.3,202.4,51.1571,10.0,511.571,480829100,,202.4,51.1571,,,13-Nov,Priced Below Range,Industrial,Metal Fabricate/Hardware,Metal Products-Distrib,2.83,0.672529746508014,87.7,5.2,4,15,2005,0
JPC US,Nuveen Preferred & Income Oppo,,,,1320.0,0.0,15.0,0.0,67073B106,,1320.0,0.0,22.2299,23356800.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.33,0.600764609502999,77.6,5.9,3,27,2003,0
JPEP US,AMID Merger LP,-27.4,-6.9,-4.9,275.0,18.2135,20.0,364.27,46643C109,1.2,275.0,18.2135,,,19 - 21,Priced Within Range,Energy,Pipelines,Pipelines,0.09,-0.2512277812553889,86.9,5.7,10,2,2014,0
JPI US,Nuveen Preferred & Income Term,,,,575.0,0.0,25.0,0.0,67075A106,,575.0,0.0,15.9842,3639990.0,25 - 25,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.09,-0.162978586182561,72.3,8.2,7,27,2012,1
JPS US,Nuveen Preferred & Income Secu,,,,1629.0,0.0,15.0,0.0,67072C105,,1629.0,0.0,21.3948,44011500.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.81,0.16602102933039,86.1,5.7,9,24,2002,1
JPT US,Nuveen Preferred and Income Fu,,,,162.5,0.0,25.0,0.0,67075T105,,162.5,0.0,12.1137,531989.0,25 - 25,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.55,0.582772789025459,98.5,4.7,1,27,2017,0
JPW US,Nuveen Flexible Investment Inc,,,,74.0,0.0,20.0,0.0,67075B104,,74.0,0.0,3.88291,143619.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.09,0.2399708085599498,84.1,7.5,6,26,2013,0
JQC US,Nuveen Credit Strategies Incom,,,,2025.0,0.0,15.0,0.0,67073D102,,2025.0,0.0,48.1968,65359400.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.28,0.108991825613079,89.7,6.3,6,26,2003,1
JRI US,Nuveen Real Asset Income and G,,,,218.5,0.0,20.0,0.0,67074Y105,,218.5,0.0,35.37,9710360.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.09,0.3021029504080339,76.4,8.2,4,26,2012,0
JRN US,Journal Communications Inc,7.8,10.5,7.6,297.562,17.25,15.0,258.75,481130102,1.5,297.562,17.25,,,13.50 - 15.50,Priced Within Range,Communications,Media,Multimedia,1.01,0.3250270855904668,87.7,6.1,9,24,2003,1
JRO US,Nuveen Floating Rate Income Op,,,,425.297,0.0,15.0,0.0,6706EN100,,425.297,0.0,34.5728,14016200.0,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.4,-0.158144438587237,96.7,5.5,7,28,2004,0
JSD US,Nuveen Short Duration Credit O,,,,200.0,0.0,20.0,0.0,67074X107,,200.0,0.0,56.5862,5707090.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.09,0.4704187527233639,74.3,9.0,5,26,2011,0
JSN US,Nuveen Equity Premium Opportun,,,,1287.89,0.0,20.0,0.0,6706EM102,,1287.89,0.0,,,,,Financial,Closed-end Funds,Closed-end Funds,1.97,0.2101944298475958,95.5,5.3,1,26,2005,0
JSYNU US,iSun Inc,115.2,-13.7,-14.5,39.0,4.1945,10.0,41.945,47632B201,-0.5,39.0,4.1945,23.2387,777100.0,10-Oct,Priced Within Range,Energy,Energy-Alternate Sources,Energy-Alternate Sources,0.36,0.4306000143392679,91.0,5.0,3,3,2016,0
JTA US,Nuveen Tax-Advantaged Total Re,,,,267.0,0.0,20.0,0.0,67090H102,,267.0,0.0,8.18127,1133180.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.94,0.4883342376559899,103.8,5.7,1,28,2004,0
JTD US,Nuveen Tax-Advantaged Dividend,,,,297.0,0.0,20.0,0.0,67073G105,,297.0,0.0,5.64948,818290.0,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.23,0.1937975176605649,85.3,4.6,6,27,2007,1
JTP US,Nuveen Quality Preferred Incom,,,,963.3,0.0,15.0,0.0,67071S101,,963.3,0.0,,,15 - 15,Priced Within Range,Funds,Debt Fund,Unclassified,1.79,0.055617352614023,92.4,5.8,6,26,2002,1
JUNO US,Juno Therapeutics Inc,40.9,-390.7,-31.4,304.231,79.5924,24.0,1910.22,48205A109,-2.1,304.231,79.5924,0.559031,649065.0,21 - 23,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.13,-0.567010091001089,93.6,5.6,12,19,2014,1
JWCAU US,Tile Shop Holdings Inc,14.0,3.9,4.1,125.0,12.5,10.0,125.0,46634Y201,0.7,125.0,12.5,,,10-Oct,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Building Products,0.2,0.0420646423819506,71.6,9.8,11,18,2010,1
JWS/U US,Cano Health Inc,93.5,-1.1,-0.9,690.0,69.0,10.0,690.0,N.A.,-0.7,690.0,69.0,0.113805,85354.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical-Hospitals,0.05,0.0019501616684046,72.3,13.2,5,14,2020,1
JYAC US,Jiya Acquisition Corp,,,-1.6,103.52,13.352,10.0,133.52,47760M102,-0.0898391,103.52,13.352,104.83,11383600.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,-0.0610627217844137,76.9,6.7,11,19,2020,0
JYNT US,Joint Corp/The,37.7,8.1,0.3,22.425,9.6216,6.5,59.6154,47973J102,1.0,22.425,9.6216,110.683,16081900.0,7-Jun,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Services,Medical-Outptnt/Home Med,0.07,-0.5399417941061189,88.8,5.8,11,11,2014,1
KAACU US,Kinetik Holdings Inc,8.2,-39.0,-0.6,377.321,37.7321,10.0,377.321,48661U201,55.9,377.321,37.7321,,,10-Oct,Priced Within Range,Energy,Pipelines,Pipelines,0.66,0.0812797871947232,96.9,4.4,3,30,2017,0
KALA US,Kala Pharmaceuticals Inc,76.6,-1268.7,-91.0,103.5,24.1834,15.0,362.751,483119202,-83.0,103.5,24.1834,58.8669,893847.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,1.06,-0.0689922638852294,93.4,4.3,7,20,2017,1
KALV US,KalVista Pharmaceuticals Inc,,,-40.4,74.75,26.197,5.0,130.985,483497103,-3.1,74.75,26.197,119.724,29454400.0,5-May,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.12,0.2032873254587689,95.9,5.4,4,9,2015,1
KAR US,KAR Auction Services Inc,2.9,2.9,3.3,331.873,27.656,12.0,331.87,48238T109,3.3,331.873,27.656,127.55,138912000.0,15 - 17,Priced Below Range,"Consumer, Cyclical",Distribution/Wholesale,Distribution/Wholesale,0.13,-0.176119816946313,72.5,9.9,12,11,2009,1
KBAY US,Kanbay International Inc,26.2,14.3,10.4,106.893,32.3599,13.0,420.68,48369P207,0.5,106.893,32.3599,,,13 - 15,Priced Within Range,Technology,Computers,Computer Services,1.4,-0.158144438587237,96.7,5.5,7,22,2004,1
KBLMU US,180 Life Sciences Corp,,,43.4,115.0,11.95,10.0,119.5,48242A203,-0.6,115.0,11.95,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.91,0.0907111014861139,95.0,4.3,6,2,2017,0
KBNT US,Kubient Inc,-5.6,-375.9,-62.5,14.375,0.0,5.0,0.0,50116V107,-0.5,14.375,0.0,20.3646,2933010.0,7-May,Priced Within Range,Technology,Software,Applications Software,0.1,0.315321052408127,74.1,8.4,8,12,2020,0
KBR US,KBR Inc,27.2,0.2,2.9,544.272,167.643,17.0,2849.93,48242W106,1.9,544.272,167.643,111.297,152696000.0,15 - 17,Priced Within Range,Technology,Computers,Computer Services,5.23,-0.1486620416253789,92.1,4.5,11,16,2006,1
KBW US,KBW LLC,,,-5.2,164.22,30.5791,21.0,642.16,482423100,,164.22,30.5791,,,19 - 21,Priced Within Range,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,5.23,-0.1486620416253789,92.1,4.5,11,9,2006,1
KCI US,Kinetic Concepts Inc,,,,621.0,64.8135,30.0,1944.41,49460W208,,621.0,64.8135,0.00739184,5401.0,27 - 29,Priced Above Range,"Consumer, Non-cyclical",Healthcare-Products,Hospital Beds/Equipment,1.03,0.539956803455712,94.4,5.6,2,24,2004,1
KDMN US,Kadmon Holdings Inc,62.6,-1314.1,-48.5,75.0,44.87,12.0,538.44,48283N106,-0.5,75.0,44.87,13.4876,24078200.0,12-Dec,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.41,-0.161813640474981,90.0,4.8,7,27,2016,0
KDNY US,Chinook Therapeutics Inc,6142.4,-199.3,-18.3,136.85,60.0005,17.0,1020.01,16961L106,-2.2,136.85,60.0005,101.946,65184800.0,17 - 17,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.12,0.2032873254587689,95.9,5.4,4,15,2015,1
KED US,Kayne Anderson Energy Developm,,,,250.0,10.0001,25.0,250.0,48660Q102,,250.0,10.0001,12.7225,1364230.0,25 - 25,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.25,-0.490436488474757,85.4,4.5,9,21,2006,0
KERX US,Keryx Biopharmaceuticals Inc,89.6,-269.5,-55.8,46.0,18.8233,10.0,188.23,492515101,-0.8,46.0,18.8233,0.893246,1075250.0,12-Oct,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,6.86,0.23201856148492,108.3,4.0,7,28,2000,1
KEYW US,KeyW Holding Corp/The,14.7,-4.4,-3.3,104.65,25.152,10.0,251.52,493723100,0.2,104.65,25.152,0.418069,209751.0,12-Oct,Priced Within Range,Technology,Computers,Computer Services,0.2,0.1245198888476958,67.7,9.4,10,1,2010,1
KFN US,KKR Financial Holdings LLC,-20.4,10.6,3.2,900.0,70.1427,24.0,1683.42,48248A306,,900.0,70.1427,186.0,186.0,23 - 25,Priced Within Range,Financial,Investment Companies,Investment Companies,3.02,0.0514403292181003,96.0,5.0,6,24,2005,1
KHA/U US,KBL Healthcare Acquisition Cor,,,-0.7,138.0,0.0,8.0,0.0,48241N206,-0.0882335,138.0,0.0,,,8-Aug,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,5.31,-0.0254377207802054,90.4,4.7,7,20,2007,1
KHPAU US,Key Hospitality Acquisition Co,,,-3.6,51.6,7.5,8.0,60.0,49308X202,,51.6,7.5,,,8-Aug,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,3.93,0.201207243460752,74.2,5.0,10,24,2005,0
KIDS US,OrthoPediatrics Corp,37.9,-16.5,2.5,59.8,12.6444,13.0,164.377,68752L100,-0.6,59.8,12.6444,97.1511,22239300.0,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,1.06,-0.0632042103727645,100.7,4.2,10,12,2017,1
KIDSQ US,Parent Co/The,,,,21.85,5.00026,9.5,47.5,69945P107,,21.85,5.00026,,,10-Aug,Priced Within Range,Communications,Internet,Internet Content-Info/Ne,3.3,0.5117707267144339,89.1,4.9,8,3,2005,1
KIN US,Kindred Biosciences Inc,890.7,-51.6,-37.3,60.375,16.1728,7.0,113.21,494577109,-0.2,60.375,16.1728,16.2003,7365040.0,8-Jun,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.07,-0.0085811497882589,82.5,6.7,12,12,2013,1
KINZU US,KINS Technology Group Inc,,,15.7,276.0,27.6,10.0,276.0,49714K208,-0.0862784,276.0,27.6,2.14276,20101.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0941478467042596,80.7,6.7,12,15,2020,1
KIO US,KKR Income Opportunities Fund,,,,305.0,0.0,20.0,0.0,48249T106,,305.0,0.0,39.202,7973810.0,20 - 20,Priced Within Range,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,0.1,0.039399753323301,85.1,7.3,7,26,2013,0
KIORQ US,KiOR Inc,1997.7,-19038.4,-200.4,162.0,39.9331,15.0,598.996,497217109,-0.9,162.0,39.9331,,,19 - 21,Priced Below Range,Energy,Energy-Alternate Sources,Energy-Alternate Sources,0.1,-0.1070967056699219,71.5,9.1,6,24,2011,0
KIPS US,Kips Bay Medical Inc,-35.3,-6675.0,-114.2,16.5,15.6443,8.0,125.15,49726K105,-0.1,16.5,15.6443,,,10-Aug,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,0.18,0.493136502545162,77.5,9.0,2,11,2011,0
KIRK US,Kirkland's Inc,2.7,3.9,-3.9,90.0,18.8715,15.0,283.07,497498105,-2.2,90.0,18.8715,53.9478,6880700.0,17 - 19,Priced Below Range,"Consumer, Cyclical",Retail,Retail-Home Furnishings,1.83,0.1111728738187739,88.1,5.8,7,11,2002,0
KITE US,Kite Pharma Inc,28.4,-1204.6,-46.5,146.625,37.9916,17.0,645.86,49803L109,-3.4,146.625,37.9916,0.0489845,28099.8,15 - 16,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,0.1862126944094109,82.5,6.1,6,20,2014,1
KKD US,Krispy Kreme Doughnuts Inc,5.7,6.2,9.2,63.0,12.485,21.0,262.185,501014104,1.2,63.0,12.485,,,18 - 20,Priced Above Range,"Consumer, Cyclical",Retail,Retail-Restaurants,6.17,0.058411214953279,109.2,3.8,4,4,2000,1
KLDO US,Kaleido Biosciences Inc,13.2,-8178.2,-164.9,75.0,29.6329,15.0,444.493,483347100,-1.8,75.0,29.6329,46.561,19845500.0,20 - 22,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.4,0.422705314009692,93.8,3.8,2,28,2019,0
KMA US,KMG America Corp,,,-0.8,206.483,19.2366,9.5,182.75,482563103,,206.483,19.2366,,,11-Sep,Priced Within Range,Financial,Insurance,Life/Health Insurance,2.04,-0.3664921465968529,97.1,5.4,12,15,2004,1
KMF US,Kayne Anderson NextGen Energy,,,,475.0,19.004,25.0,475.1,4.87E+112,,475.0,19.004,43.7447,20646400.0,25 - 25,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,0.2,0.0420646423819506,71.6,9.8,11,24,2010,0
KMI US,Kinder Morgan Inc,41.9,10.7,3.6,3293.59,707.0,30.0,21210.0,49456B101,2.5,3293.59,707.0,65.7321,1477490000.0,26 - 29,Priced Above Range,Energy,Pipelines,Pipelines,0.18,0.493136502545162,77.5,9.0,2,11,2011,1
KMPH US,KemPharm Inc,115.6,-29.8,-23.0,55.99,13.463,11.0,148.093,488445206,0.3,55.99,13.463,20.9672,7234720.0,14-Dec,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.12,0.2032873254587689,95.9,5.4,4,16,2015,1
KMR US,Kinder Morgan Management LLC,,,5.8,1047.7,14.875,70.41,1047.35,49455U100,,1047.7,14.875,0.0553365,75230.0,,,Energy,Pipelines,Pipelines,4.61,0.4522328999434578,92.0,4.3,5,15,2001,1
KNBT US,KNBT Bancorp Inc,,,,202.012,0.0,10.0,0.0,482921103,,202.012,0.0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Eastern US,1.0,0.380641653072316,89.3,6.1,8,12,2003,1
KNL US,Knoll Inc,-13.4,0.6,-0.3,190.532,47.8937,15.0,718.41,498904200,1.2,190.532,47.8937,18.1609,8978880.0,14 - 16,Priced Within Range,"Consumer, Cyclical",Office Furnishings,Office Furnishings-Orig,2.04,-0.3664921465968529,97.1,5.4,12,14,2004,1
KNOL US,Knology Inc,,,5.5,54.0,22.7751,9.0,204.98,499183804,,54.0,22.7751,,,14-Dec,Priced Below Range,Communications,Media,Cable/Satellite TV,1.03,-0.108401084010841,92.6,5.7,12,18,2003,1
KNSA US,Kiniksa Pharmaceuticals Ltd,,-409.7,40.0,170.716,15.7547,18.0,283.585,N.A.,-1.8,170.716,15.7547,96.7337,33403200.0,17 - 19,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.7,0.4158916925435,98.0,3.8,5,24,2018,1
KNSL US,Kinsale Capital Group Inc,39.1,23.8,6.4,105.6,20.9688,16.0,335.501,49714P108,17.9,105.6,20.9688,93.9399,21681600.0,14 - 16,Priced Within Range,Financial,Insurance,Property/Casualty Ins,0.41,-0.161813640474981,90.0,4.8,7,28,2016,1
KNTA US,Kintera Inc,9.3,-35.1,-25.9,40.25,22.8076,7.0,159.65,49720P506,-0.1,40.25,22.8076,,,10-Aug,Priced Below Range,Technology,Software,Applications Software,1.03,-0.108401084010841,92.6,5.7,12,19,2003,1
KNTE US,Kinnate Biopharma Inc,,,-28.7,276.0,42.8272,20.0,820.544,49705R105,-1.6,276.0,42.8272,99.5712,43975300.0,18 - 19,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.0941478467042596,80.7,6.7,12,3,2020,1
KNVS US,Knova Software Inc,,,-10.5,31.5,23.4,7.0,163.8,499234102,,31.5,23.4,,,8-Jul,Priced Within Range,Technology,Software,Applications Software,6.51,0.0,107.3,4.1,8,25,2000,1
KNX US,Knight-Swift Transportation Ho,28.3,12.3,8.3,872.85,139.467,11.0,1534.14,499049104,7.1,872.85,139.467,97.5961,156833000.0,13 - 15,Priced Below Range,Industrial,Transportation,Transport-Truck,0.2,0.1718440789203088,74.5,9.3,12,16,2010,1
KNXA US,Kenexa Corp,,,-1.9,69.0,16.4279,12.0,197.13,488879107,,69.0,16.4279,,,14 - 16,Priced Below Range,Technology,Software,Applications Software,3.02,0.0514403292181003,96.0,5.0,6,24,2005,1
KOD US,Kodiak Sciences Inc,,,-42.3,94.0,37.9234,10.0,379.234,50015M109,-3.5,94.0,37.9234,90.3732,47273400.0,13 - 15,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.18,0.1766763455725869,98.6,3.8,10,4,2018,1
KONA US,Kona Grill Inc,-12.3,-20.3,-43.9,31.625,5.29653,11.0,58.26,50047H201,-0.1,31.625,5.29653,10.563,1401050.0,11-Oct,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Restaurants,3.3,0.5117707267144339,89.1,4.9,8,16,2005,1
KOP US,Koppers Holdings Inc,0.5,5.0,4.3,161.0,20.7142,14.0,290.0,50060P106,4.8,161.0,20.7142,97.2741,20328400.0,14 - 16,Priced Within Range,Basic Materials,Chemicals,Chemicals-Diversified,4.47,0.2017145738779499,86.7,4.8,2,1,2006,1
KOS US,Kosmos Energy Ltd,38.2,-7.0,9.6,621.328,375.69,18.0,6762.42,500688106,0.9,621.328,375.69,103.082,469945000.0,16 - 18,Priced Within Range,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.09,0.4704187527233639,74.3,9.0,5,11,2011,1
KOSN US,Kosan Biosciences Inc,,,-46.3,80.5,23.8445,14.0,333.82,50064W107,,80.5,23.8445,0.00108776,464.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.6,0.1727115716753108,105.8,3.9,10,4,2000,0
KPPCU US,KapStone Paper and Packaging C,7.7,7.3,10.2,120.0,25.0,6.0,150.0,48562P202,,120.0,25.0,,,6-Jun,Priced Within Range,Industrial,Packaging&Containers,Containers-Paper/Plastic,3.3,0.5117707267144339,89.1,4.9,8,16,2005,0
KPTI US,Karyopharm Therapeutics Inc,94.1,-59.1,-36.2,125.12,24.7496,16.0,395.99,48576U106,-1.4,125.12,24.7496,91.7166,74432600.0,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,-0.204242419052338,75.1,6.9,11,6,2013,1
KRA US,Kraton Corp,26.0,8.6,6.6,150.946,30.5962,13.5,413.05,50077C106,5.3,150.946,30.5962,44.4,14310300.0,16 - 18,Priced Below Range,Basic Materials,Chemicals,Chemicals-Specialty,0.13,-0.176119816946313,72.5,9.9,12,17,2009,1
KRBP US,Kiromic BioPharma Inc,,,-250.8,15.0,7.333,12.0,87.996,497634105,-1.7,15.0,7.333,6.32391,1153910.0,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.0414937759336148,81.8,6.9,10,16,2020,0
KREF US,KKR Real Estate Finance Trust,8.0,46.9,0.8,241.644,53.7118,20.5,1101.09,48251K100,2.2,241.644,53.7118,85.7359,59239200.0,20.50 - 21.50,Priced Within Range,Financial,REITS,REITS-Mortgage,0.91,0.0854721826896363,97.1,4.4,5,5,2017,1
KRG US,Kite Realty Group Trust,40.0,-21.6,-2.1,237.9,17.1483,13.0,222.93,49803T300,0.9,237.9,17.1483,106.056,232368000.0,14 - 16,Priced Below Range,Financial,REITS,REITS-Shopping Centers,1.29,0.0527983104540587,95.9,5.4,8,11,2004,0
KRNY US,Kearny Financial Corp/MD,-7.3,32.0,0.8,717.5,0.0,10.0,0.0,48716P108,1.1,717.5,0.0,77.0516,52062000.0,10-Oct,Priced Within Range,Financial,Banks,Commer Banks-Eastern US,0.13,0.509723202549469,90.7,5.6,5,19,2015,1
KRON US,Kronos Bio Inc,,,-40.6,287.5,56.1708,19.0,1067.25,50107A104,-2.1,287.5,56.1708,65.312,37161500.0,16 - 18,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.0414937759336148,81.8,6.9,10,9,2020,1
