Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced?
,1.7,-67.9,48.0,12.6926,12.0,152.311,-0.4,48.0,12.6926,,,Technology,Computers,Computers-Peripher Equip,6.65,0.5247813411078819,106.4,4.0,6,30,2000,1
,,-662.7,51.6918,9.2,10.1,92.92,,51.6918,9.2,,,Diversified,Holding Companies-Divers,Specified Purpose Acquis,5.05,0.295712173484489,84.7,4.7,7,13,2006,0
,,,1515.0,0.0,15.0,0.0,,1515.0,0.0,,,Financial,Closed-end Funds,Closed-end Funds,1.03,0.539956803455712,94.4,5.6,2,25,2004,1
,,,385.0,0.0,20.0,0.0,,385.0,0.0,53.8379,9967700.0,Financial,Closed-end Funds,Closed-end Funds,0.11,0.6439429535456989,69.8,9.1,4,27,2011,0
,,,216.0,0.0,10.0,0.0,,216.0,0.0,23.1757,5594510.0,Financial,Closed-end Funds,Closed-end Funds,0.41,-0.1555460867335139,93.8,4.7,11,23,2016,0
,,,81.0,0.0,10.0,0.0,,81.0,0.0,26.1946,2301370.0,Financial,Closed-end Funds,Closed-end Funds,1.16,0.0024324685907436,98.5,4.2,11,30,2017,0
,,,210.0,0.0,15.0,0.0,,210.0,0.0,,,Financial,Closed-end Funds,Closed-end Funds,1.01,0.3250270855904668,87.7,6.1,9,26,2003,0
,,,162.5,0.0,20.0,0.0,,162.5,0.0,24.677,2013760.0,Financial,Closed-end Funds,Closed-end Funds,4.96,0.2755907405358929,83.4,4.7,9,26,2007,0
,,1.6,250.0,25.575,10.0,255.75,-0.0244858,250.0,25.575,13.1776,3370180.0,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0941478467042596,80.7,6.7,12,18,2020,1
-27.8,-1255.5,-69.6,81.6,22.1873,16.0,355.0,-1.3,81.6,22.1873,,,Communications,Internet,Internet Content-Info/Ne,6.17,0.058411214953279,109.2,3.8,4,6,2000,1
43.1,-2.0,-1.9,99.4175,9.1092,13.0,118.42,2.2,99.4175,9.1092,120.657,26861900.0,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,1.7,0.1593875701543719,98.2,4.0,6,21,2018,1
74.9,55.7,5.9,67.0,3.35,20.0,67.0,7.9,67.0,3.35,75.5049,21121000.0,Financial,REITS,REITS-Warehouse/Industr,0.41,0.0327321392317517,98.2,4.7,12,1,2016,0
,,-56.3,69.0,20.0515,15.0,300.772,,69.0,20.0515,,,Communications,Internet,E-Services/Consulting,5.78,0.8244994110718371,107.1,4.0,3,17,2000,1
-39.3,-89.5,-95.0,76.8,23.7957,12.0,285.55,-3.1,76.8,23.7957,,,Technology,Semiconductors,Electronic Compo-Semicon,3.57,1.22199592668025,76.9,5.0,9,21,2005,1
343.9,-476.8,-45.1,18.0,10.0508,10.0,100.508,-0.7,18.0,10.0508,24.3494,6142640.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.09,0.0941478467042596,80.7,6.7,12,23,2020,0
7.9,-11.0,-4.4,143.0,49.285,13.0,640.7,0.5,143.0,49.285,,,Technology,Software,Enterprise Software/Serv,0.18,0.1380664278408069,68.9,9.5,8,6,2010,0
39.7,16.8,-31.5,96.0,30.5411,16.0,488.658,3.6,96.0,30.5411,101.66,159911000.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.86,0.23201856148492,108.3,4.0,7,28,2000,1
,,-114.5,60.0,46.4325,12.0,557.19,,60.0,46.4325,,,Communications,Internet,Web Hosting/Design,6.86,0.23201856148492,108.3,4.0,7,25,2000,0
-13.6,54.4,-3.4,480.0,65.0,24.0,1560.0,1.8,480.0,65.0,93.8183,61515300.0,Financial,REITS,REITS-Warehouse/Industr,1.33,0.5447745452775409,95.7,4.0,1,12,2018,0
,,14.8,99.2123,25.43,13.0,330.59,,99.2123,25.43,,,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,1.86,0.5265929436545569,91.7,5.5,10,6,2004,1
-69.4,-2493.5,-42.9,64.9272,16.1795,12.0,189.23,-1.0,64.9272,16.1795,0.163192,78928.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.1,-0.0390193964161092,81.8,6.2,7,24,2014,1
,,,192.0,0.0,20.0,0.0,,192.0,0.0,1.02163,72127.0,Financial,Closed-end Funds,Closed-end Funds,1.03,0.5851063829787189,90.2,5.6,5,26,2004,0
-9.5,-10.1,-24.4,96.5,42.1332,10.0,421.33,0.1,96.5,42.1332,16.8389,8378760.0,Technology,Semiconductors,Semiconductor Equipment,0.08,-0.0843561330442059,63.7,8.6,11,18,2011,0
85.0,-156.3,-89.1,55.2,21.9336,8.0,175.47,-0.6,55.2,21.9336,,,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,1.03,0.320170757737461,94.2,5.6,4,16,2004,1
,,-70.0,44.85,9.7701,12.0,117.241,-1.5,44.85,9.7701,22.6001,2741130.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.0414937759336148,81.8,6.9,10,2,2020,1
,,-26.6,67.5,30.7645,9.0,276.88,,67.5,30.7645,,,Technology,Software,Enterprise Software/Serv,6.86,0.23201856148492,108.3,4.0,7,13,2000,1
22.8,-19.3,-21.2,86.25,23.5659,15.0,353.49,-0.2,86.25,23.5659,,,Technology,Computers,Computer Data Security,0.08,0.1862126944094109,82.5,6.1,6,25,2014,1
21.6,7.1,-5.0,103.5,22.852,18.0,411.34,1.9,103.5,22.852,0.99105,351196.0,Communications,Internet,Internet Security,0.08,-0.0843561330442059,63.7,8.6,11,9,2011,1
,,-54.1,86.48,17.2805,16.0,276.488,-2.1,86.48,17.2805,75.998,19977800.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,1.58,-0.2176451031784789,89.1,4.4,3,12,2020,0
10.6,14.2,1.8,1495.0,331.892,20.0,6637.84,1.4,1495.0,331.892,,,Technology,Software,Medical Information Sys,0.08,0.3296754453157729,84.1,6.2,4,4,2014,1
,,-61.2,62.1,21.7907,12.0,261.49,-3.5,62.1,21.7907,61.6221,24193800.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,0.3296754453157729,84.1,6.2,4,17,2014,0
,,-35.5,115.0,11.5,10.0,115.0,-0.9,115.0,11.5,7.37193,6031110.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.45,0.2128758589384109,100.0,3.6,5,10,2019,1
,-206.3,-79.5,230.0,23.0,10.0,230.0,-0.8,230.0,23.0,,,Financial,Insurance,Property/Casualty Ins,0.09,0.13927469432666,80.4,7.8,9,3,2020,1
,,,465.686,0.0,20.0,0.0,,465.686,0.0,12.7959,2956440.0,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,5.31,-0.0254377207802054,90.4,4.7,7,27,2007,0
-43.8,-1130.8,-66.1,136.85,37.7098,17.0,641.067,-2.1,136.85,37.7098,75.5991,32924500.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.1,0.315321052408127,74.1,8.4,8,19,2020,1
,,,230.0,23.0,10.0,230.0,,230.0,23.0,,,Industrial,Environmental Control,Non-hazardous Waste Disp,1.06,-0.0689922638852294,93.4,4.3,7,27,2017,1
-4.1,12.4,3.7,48.0,38.7429,8.0,309.94,0.8,48.0,38.7429,,,Communications,Internet,Internet Content-Info/Ne,4.59,0.5939617873415811,76.1,4.7,11,16,2007,0
,,,155.0,0.0,20.0,0.0,,155.0,0.0,10.3368,1393730.0,Financial,Closed-end Funds,Closed-end Funds,0.17,0.27575889023645,55.8,9.0,8,26,2011,0
8.0,-2436.0,-56.9,90.0,22.4372,18.0,403.87,-0.4,90.0,22.4372,37.1671,33207200.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.86,0.23201856148492,108.3,4.0,7,27,2000,1
5.1,-11.9,-9.4,209.3,85.2366,13.0,1108.08,0.1,209.3,85.2366,103.003,226342000.0,Communications,Telecommunications,Networking Products,5.23,0.1937975176605649,85.3,4.6,6,7,2007,1
16.0,-1.7,-10.1,81.1776,18.0489,16.0,288.78,1.0,81.1776,18.0489,106.393,24386400.0,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,0.07,0.3697908650968729,81.6,6.7,2,14,2014,0
-12.1,-3012.3,-90.1,32.0,20.4604,8.0,163.68,-0.5,32.0,20.4604,,,"Consumer, Non-cyclical",Pharmaceuticals,Therapeutics,6.6,0.1727115716753108,105.8,3.9,10,12,2000,1
5.1,1.3,-0.6,101.252,20.9191,6.0,125.51,,101.252,20.9191,,,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,5.0,0.8508508508508341,87.4,4.7,4,12,2006,1
61.8,-1217.6,-61.0,38.689,17.4956,7.0,122.47,-0.3,38.689,17.4956,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.02,0.3172924378635659,95.6,5.6,6,4,2004,1
46.8,-85.0,-36.1,80.0,18.1285,16.0,290.06,-0.6,80.0,18.1285,,,Technology,Software,Applications Software,6.6,0.1727115716753108,105.8,3.9,10,3,2000,1
54.3,-18.1,-0.1,253.5,27.278,9.75,265.96,0.6,253.5,27.278,109.513,117065000.0,Financial,REITS,REITS-Hotels,0.18,0.493136502545162,77.5,9.0,2,9,2011,0
3.9,3.3,2.6,684.85,25.3648,27.0,3900.96,0.9,684.85,25.3648,3.25361,2510660.0,Technology,Software,Medical Information Sys,0.06,0.4343044923772059,95.4,5.5,2,12,2015,0
,,-54.9,163.875,32.2395,19.0,612.55,,163.875,32.2395,0.0416281,15372.0,Communications,Internet,E-Commerce/Services,1.83,0.0523834468308086,92.8,5.4,11,15,2004,1
-14.2,-6.4,-8.1,123.3,7.7,16.0,123.2,0.4,123.3,7.7,,,Communications,Telecommunications,Networking Products,6.52,0.5208333333333119,106.8,3.9,9,22,2000,1
102.2,-18.0,-12.5,124.2,21.2532,16.0,340.051,-0.7,124.2,21.2532,104.009,30050600.0,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,1.7,0.4158916925435,98.0,3.8,5,3,2018,1
225.4,-26.1,-54.9,150.65,15.39,10.0,134.25,-2.7,150.65,15.39,0.00778567,1206.0,"Consumer, Cyclical",Retail,Retail-Automobile,2.4,0.564135835680577,98.4,3.8,3,20,2019,1
-9.1,-8.9,2.8,122.188,16.9529,17.0,288.2,-0.1,122.188,16.9529,,,"Consumer, Non-cyclical",Commercial Services,Commercial Services,1.03,0.320170757737461,94.2,5.6,4,30,2004,1
9.9,-258.3,-109.7,28.52,17.3943,8.0,139.154,-0.9,28.52,17.3943,19.5615,4136510.0,Technology,Computers,Computer Data Security,0.09,0.0414937759336148,81.8,6.9,10,9,2020,1
16.3,67.8,10.3,113.16,41.659,16.0,666.54,4.4,113.16,41.659,118.847,82935500.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.86,0.5265929436545569,91.7,5.5,10,5,2004,1
9.5,13.0,1.9,1771.0,313.667,20.0,6273.34,1.5,1771.0,313.667,104.989,641910000.0,Financial,REITS,REITS-Apartments,0.66,0.3146117386416659,96.3,4.6,2,1,2017,0
12.4,-5.0,-11.8,86.25,79.323,7.5,594.92,0.9,86.25,79.323,0.00424369,4056.0,Technology,Semiconductors,Electronic Compo-Semicon,0.08,-0.0843561330442059,63.7,8.6,11,16,2011,1
-63.7,-435.6,110.4,43.2,11.3148,12.0,135.778,-0.8,43.2,11.3148,,,Technology,Computers,Computers-Integrated Sys,5.79,0.592417061611377,111.3,4.1,2,3,2000,1
3.2,-0.8,-3.3,109.606,44.0143,9.0,396.13,0.4,109.606,44.0143,31.3729,16578300.0,Technology,Software,Transactional Software,5.27,0.1965601965601969,82.0,4.7,8,15,2006,1
-43.2,-402.7,-113.2,46.0,5.75,8.0,46.0,-0.3,46.0,5.75,,,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.09,-0.162978586182561,72.3,8.2,7,20,2012,1
,,-42.0,128.8,22.8649,16.0,365.838,-2.0,128.8,22.8649,86.2779,34851400.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,0.5058243501670088,72.5,10.2,7,24,2020,1
623.1,-265.0,-78.6,35.0,16.8974,7.0,118.28,-1.1,35.0,16.8974,,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,4.47,0.2017145738779499,86.7,4.8,2,1,2006,0
41.5,-22.7,-21.1,25.0,14.7812,5.0,73.906,-0.4,25.0,14.7812,34.643,10825700.0,Technology,Semiconductors,Electronic Compo-Semicon,0.13,-0.0449683750446447,90.0,5.0,10,27,2015,1
-13.9,-37.7,-100.0,112.7,58.7102,14.0,821.94,-1.7,112.7,58.7102,,,Communications,Internet,Internet Security,1.11,0.1088731627653788,90.9,6.2,7,24,2003,1
-1.3,2.9,2.2,198.048,20.3471,16.0,325.55,11.4,198.048,20.3471,0.419594,45911.7,Financial,Insurance,Property/Casualty Ins,1.33,0.770500825536602,79.9,5.9,2,12,2003,0
13.8,5.6,4.4,94.48,14.8118,16.0,236.99,2.7,94.48,14.8118,,,"Consumer, Non-cyclical",Healthcare-Services,Phys Practice Mgmnt,3.06,0.4970576472604689,78.4,5.0,1,25,2008,1
36.8,-45.2,-30.7,21.0,6.31823,8.0,50.55,-0.1,21.0,6.31823,1.01664,187157.0,"Consumer, Non-cyclical",Commercial Services,Human Resources,0.14,0.2614508584374949,78.6,7.5,3,5,2013,0
,-1067.5,,82.5,26.3924,11.0,290.316,,82.5,26.3924,,,Communications,Internet,E-Commerce/Products,5.79,0.592417061611377,111.3,4.1,2,10,2000,0
21.6,19.0,8.7,170.775,44.2303,16.5,729.8,7.3,170.775,44.2303,102.642,50001400.0,Technology,Semiconductors,Electronic Compo-Semicon,5.27,0.148883374689833,91.7,4.4,12,12,2006,1
86.7,-8.7,-6.0,93.84,25.069,12.0,300.828,3.1,93.84,25.069,32.2243,17295700.0,Technology,Semiconductors,Electronic Compo-Semicon,0.2,0.0420646423819506,71.6,9.8,11,11,2010,1
11.0,4.5,2.5,119.999,20.2705,12.0,243.25,3.7,119.999,20.2705,44.835,8828350.0,Basic Materials,Chemicals,Chemicals-Diversified,5.23,-0.1486620416253789,92.1,4.5,11,2,2006,1
37.2,92.4,41.3,1104.0,74.8431,32.0,2394.98,6.0,1104.0,74.8431,67.3741,9088060.0,Basic Materials,Chemicals,Agricultural Chemicals,2.38,0.606477838971956,62.6,5.0,4,22,2008,1
2.7,-15.6,-16.4,15.1404,0.0,18.5,0.0,-3.6,15.1404,0.0,,,"Consumer, Cyclical",Entertainment,Resorts/Theme Parks,1.42,0.45346899748655,99.7,4.1,2,1,2018,0
-2.1,-5.1,-1.9,90.0,14.6908,16.0,235.05,,90.0,14.6908,0.333949,16280.0,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,1.3,-0.1632208922742189,92.1,6.1,5,12,2003,1
210.5,-8.2,-11.3,414.0,41.4,10.0,414.0,-9.7,414.0,41.4,0.0679179,28118.0,Communications,Internet,E-Commerce/Services,0.06,-0.668694186699718,71.8,14.8,4,28,2020,1
118.7,-39.9,-96.5,828.0,82.8,10.0,828.0,-0.6,828.0,82.8,0.0416242,43081.0,"Consumer, Non-cyclical",Healthcare-Services,Medical-HMO,0.06,-0.668694186699718,71.8,14.8,4,22,2020,1
,,6.8,460.0,46.0,10.0,460.0,-0.0151282,460.0,46.0,0.328385,151057.0,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0414937759336148,81.8,6.9,10,9,2020,1
44.8,-44.4,-3.2,805.0,80.5,10.0,805.0,-25.7,805.0,80.5,,,Financial,Diversified Finan Serv,Finance-Consumer Loans,0.09,0.0414937759336148,81.8,6.9,10,9,2020,1
,,5.3,1150.0,115.0,10.0,1150.0,-0.00790616,1150.0,115.0,0.251317,289014.0,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.0414937759336148,81.8,6.9,10,9,2020,1
5.1,-97.8,-156.3,45.0,28.9067,10.0,289.067,-0.6,45.0,28.9067,,,Technology,Office/Business Equip,Office Automation&Equip,5.78,0.8244994110718371,107.1,4.0,3,7,2000,1
91.3,-1099.6,-39.8,241.5,24.705,10.0,215.55,-0.4,241.5,24.705,0.0531307,16500.0,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,1.59,0.2740618131495429,101.0,3.5,2,4,2020,1
34.6,-827.6,-24.4,17.25,6.6504,5.0,33.25,-0.7,17.25,6.6504,26.288,1551990.0,Industrial,Electrical Compo&Equip,Power Conv/Supply Equip,0.08,-0.204242419052338,75.1,6.9,11,22,2013,1
12.7,15.3,16.4,107.064,30.5672,14.0,427.94,1.4,107.064,30.5672,0.0140383,4845.0,Communications,Telecommunications,Telecom Services,4.59,0.5939617873415811,76.1,4.7,11,1,2007,1
22.1,6.9,4.9,1089.47,128.915,40.0,5156.6,15.3,1089.47,128.915,95.1542,176739000.0,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,0.14,0.178040777358723,84.5,7.5,5,9,2013,1
29.6,10.9,4.6,949.9,195.927,20.0,3918.54,1.4,949.9,195.927,116.918,473431000.0,Industrial,Machinery-Diversified,Machinery-Pumps,0.91,0.0854721826896363,97.1,4.4,5,12,2017,1
9.4,1.9,-20.7,118.68,23.2857,24.0,558.86,-1.1,118.68,23.2857,109.579,29971600.0,"Consumer, Cyclical",Home Furnishings,Appliances,3.99,-0.8032128514056259,81.6,5.0,11,9,2005,1
5.3,-1.5,0.1,400.0,48.5,10.0,485.0,2.2,400.0,48.5,,,Communications,Telecommunications,Satellite Telecom,3.12,0.290411218495348,70.8,4.9,2,15,2008,0
22.4,13.9,10.0,156.0,35.7706,13.0,465.02,1.5,156.0,35.7706,,,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,1.79,0.055617352614023,92.4,5.8,6,28,2002,1
-8.4,-9.8,-27.3,92.8844,24.7509,14.0,346.51,0.2,92.8844,24.7509,0.0458727,12000.0,"Consumer, Cyclical",Retail,Retail-Restaurants,0.16,-0.1173479366321049,79.3,8.2,5,11,2012,1
-15.8,-0.9,,60.0,8.52,10.0,85.2,0.1,60.0,8.52,,,Industrial,Electrical Compo&Equip,Electric Products-Misc,0.1,-0.1070967056699219,71.5,9.1,6,16,2011,0
31.8,22.3,16.5,14.49,10.7184,6.25,66.99,0.9,14.49,10.7184,50.1419,6301000.0,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,0.1,-0.0390193964161092,81.8,6.2,7,16,2014,1
-1.0,20.8,0.7,44.965,4.7702,10.0,47.7,2.8,44.965,4.7702,36.8197,1228900.0,Financial,Savings&Loans,S&L/Thrifts-Central US,0.08,0.0886045666793554,63.7,9.0,7,8,2011,1
,,,415.0,0.0,20.0,0.0,,415.0,0.0,19.5871,4127450.0,Financial,Closed-end Funds,Closed-end Funds,5.34,-0.542138984721521,93.6,4.4,10,25,2006,1
18.1,17.8,2.6,34.0,9.64354,8.5,81.97,0.4,34.0,9.64354,91.3035,204588000.0,Financial,REITS,REITS-Apartments,0.08,0.12029315570472,82.1,7.2,8,13,2013,0
21.7,-31.4,-27.9,123.049,22.0672,17.0,375.142,-1.2,123.049,22.0672,111.556,33590600.0,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,0.29,0.1246748513014319,87.2,4.9,10,20,2016,1
6.2,127.7,17.4,215.625,97.4129,11.25,1095.9,1.6,215.625,97.4129,141.976,217785000.0,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,0.14,0.024920738207648,73.6,9.8,2,3,2010,1
-8.2,37.5,1.1,516.271,0.0,10.0,0.0,2.1,516.271,0.0,38.8335,96710500.0,Financial,Savings&Loans,S&L/Thrifts-Eastern US,3.93,0.201207243460752,74.2,5.0,10,11,2005,1
,,,610.0,0.0,20.0,0.0,,610.0,0.0,48.0545,15981400.0,Financial,Closed-end Funds,Closed-end Funds,0.09,0.3021029504080339,76.4,8.2,4,26,2012,0
31.5,26.2,16.9,208.021,36.139,18.0,650.5,1.9,208.021,36.139,,,Financial,Diversified Finan Serv,Finance-Other Services,2.39,0.7820646506777719,92.6,5.2,3,9,2005,1
,,-54.9,192.28,31.251,22.0,687.52,-0.9,192.28,31.251,124.876,150754000.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.07,0.1163004485263468,77.5,7.2,9,25,2013,1
3.9,8.8,4.1,500.0,90.484,25.0,2262.1,0.7,500.0,90.484,0.0324149,44664.0,Technology,Semiconductors,Electronic Compo-Semicon,5.79,0.592417061611377,111.3,4.1,2,25,2000,1
,,5.2,124.833,61.7457,13.0,802.69,,124.833,61.7457,,,Technology,Computers,Computers-Memory Devices,5.27,0.148883374689833,91.7,4.4,12,14,2006,1
,,-28.1,66.0,24.3141,12.0,291.77,,66.0,24.3141,,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,6.51,0.0,107.3,4.1,8,3,2000,1
31.0,29.8,10.5,45.0,37.4293,9.0,336.86,5.8,45.0,37.4293,90.1482,318570000.0,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,6.65,0.5247813411078819,106.4,4.0,6,13,2000,1
6.7,21.9,18.6,33.0,12.1216,11.0,133.34,0.2,33.0,12.1216,24.2515,4189740.0,Industrial,Aerospace/Defense,Aerospace/Defense-Equip,6.51,0.0,107.3,4.1,8,4,2000,1
2.4,-35.3,7.5,31.5,15.9268,10.5,167.231,-0.0902875,31.5,15.9268,,,"Consumer, Non-cyclical",Pharmaceuticals,Therapeutics,6.51,0.0,107.3,4.1,8,22,2000,1
1.6,8.3,1.2,45.9942,7.2303,14.0,101.22,3.2,45.9942,7.2303,62.0056,6132900.0,Financial,Banks,Commer Banks-Southern US,0.1,-0.0390193964161092,81.8,6.2,7,1,2014,1
,,,76.236,7.6236,10.0,76.236,,76.236,7.6236,,,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.09,0.13927469432666,80.4,7.8,9,9,2020,0
3.9,30.1,3.6,330.625,33.2178,23.0,764.01,3.5,330.625,33.2178,0.0482585,108197.0,Utilities,Electric,Electric-Transmission,3.36,0.4627249357326559,96.5,5.0,7,26,2005,1
267.3,-339.0,-44.5,139.521,22.1346,0.0,0.0,-3.1,139.521,22.1346,98.1416,92945000.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.07,-0.0085811497882589,82.5,6.7,12,20,2013,0
13.7,7.9,2.8,80.0,28.5216,16.0,456.35,4.7,80.0,28.5216,106.118,35158000.0,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,6.52,0.5208333333333119,106.8,3.9,9,29,2000,1
44.0,1.2,1.8,45.0,29.9452,6.0,179.67,-0.00213834,45.0,29.9452,,,Technology,Semiconductors,Semicon Compo-Intg Circu,4.66,-0.0670863129647814,75.5,5.0,12,14,2007,1
168.7,-312.1,-42.3,125.0,0.0,20.0,0.0,-2.5,125.0,0.0,0.138929,150000.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,5.78,0.8244994110718371,107.1,4.0,3,24,2000,1
,62.2,58.1,229.742,34.9402,19.0,663.864,14.5,229.742,34.9402,122.649,43632700.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.08,0.5058243501670088,72.5,10.2,7,24,2020,1
,,-11.6,82.55,14.1594,13.0,184.072,-1.4,82.55,14.1594,3.08903,377892.0,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.7,0.4158916925435,98.0,3.8,5,25,2018,0
-68.4,-212.6,-21.8,100.8,41.288,18.0,743.184,-0.5,100.8,41.288,,,Communications,Telecommunications,Telecommunication Equip,6.51,0.0,107.3,4.1,8,18,2000,1
,,,331.238,0.0,20.0,0.0,,331.238,0.0,52.7153,8735040.0,Financial,Closed-end Funds,Closed-end Funds,0.14,0.178040777358723,84.5,7.5,5,29,2013,0
95.3,,-5.0,176.224,8.9113,20.0,178.23,5.5,176.224,8.9113,56.5879,20005000.0,Financial,REITS,REITS-Mortgage,0.21,0.8589892263953359,70.8,9.5,6,26,2009,0
22.0,-100.7,-75.9,55.2,13.3011,12.0,152.413,-2.2,55.2,13.3011,0.128771,31000.0,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,0.12,0.3502869998528119,96.1,5.3,6,15,2015,1
-9.1,-502.6,-221.3,16.5,9.5838,6.0,57.5,-0.5,16.5,9.5838,,,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,5.34,-0.542138984721521,93.6,4.4,10,19,2006,1
-27.4,267.3,96.4,15.0,2.655,8.0,21.24,-0.0247886,15.0,2.655,,,Technology,Software,Data Processing/Mgmt,5.78,0.8244994110718371,107.1,4.0,3,30,2000,1
2.9,4.1,1.1,417.58,30.8642,19.0,586.42,2.8,417.58,30.8642,,,Communications,Telecommunications,Telecom Services,1.83,0.0523834468308086,92.8,5.4,11,18,2004,1
106.8,30.2,8.9,473.985,212.938,15.0,3194.07,2.0,473.985,212.938,0.976058,2083110.0,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.55,0.582772789025459,98.5,4.7,1,27,2017,0
-53.8,-1213.2,-90.2,20.02,8.1199,7.0,56.8393,-0.7,20.02,8.1199,3.94064,5643890.0,"Consumer, Non-cyclical",Pharmaceuticals,Veterinary Diagnostics,0.13,0.509723202549469,90.7,5.6,5,13,2015,0
35.9,-20.5,-11.0,538.2,116.362,26.0,3025.41,0.5,538.2,116.362,103.804,126005000.0,Technology,Software,Applications Software,0.08,0.5058243501670088,72.5,10.2,7,22,2020,1
33.0,-5.0,9.6,172.5,34.4571,6.0,206.743,,172.5,34.4571,,,Technology,Semiconductors,Semicon Compo-Intg Circu,4.52,0.55359838953198,88.9,4.7,3,14,2006,1
104.1,-3.0,-3.7,182.16,40.9455,27.0,1105.53,5.1,182.16,40.9455,73.7898,238989000.0,"Consumer, Cyclical",Airlines,Airlines,1.88,0.5592841163310839,93.0,5.9,4,11,2002,1
44.4,98.4,-6.2,115.0,6.01,20.0,120.2,-0.6,115.0,6.01,26.6741,6205240.0,Financial,Private Equity,Private Equity,0.06,0.5951721611097321,93.0,5.4,3,27,2015,1
,,,327.0,0.0,20.0,0.0,,327.0,0.0,34.7493,5585130.0,Financial,Closed-end Funds,Closed-end Funds,5.31,0.910569585108543,88.4,4.4,3,28,2007,0
4.6,-4.8,-9.8,432.4,54.884,20.0,1097.68,,432.4,54.884,,25800.0,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,5.02,0.1975308641975319,84.9,4.6,6,28,2006,1
,,,255.0,0.0,10.0,0.0,,255.0,0.0,8.32807,2313340.0,Financial,Closed-end Funds,Closed-end Funds,0.66,0.0812797871947232,96.9,4.4,3,29,2017,1
,,,281.25,0.0,15.0,0.0,,281.25,0.0,11.9134,2343180.0,Financial,Closed-end Funds,Closed-end Funds,1.01,0.3250270855904668,87.7,6.1,9,26,2003,1
12.6,3.5,1.4,661.25,104.882,23.0,2412.29,1.8,661.25,104.882,107.599,90746400.0,Industrial,Building Materials,Bldg Prod-Doors&Windows,0.55,0.582772789025459,98.5,4.7,1,27,2017,1
,,,130.0,0.0,10.0,0.0,,130.0,0.0,21.9666,3104730.0,Financial,Closed-end Funds,Closed-end Funds,1.16,0.5294905893230339,95.1,4.3,9,27,2017,0
-42.3,-123.3,-23.8,249.308,23.845,17.75,423.25,6.4,249.308,23.845,,,Financial,REITS,REITS-Mortgage,3.36,0.4627249357326559,96.5,5.0,7,14,2005,1
